city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Kirkland,"{'concentration': 420.57, 'aqi': 4}","{'concentration': 37.36, 'aqi': 46}","{'concentration': 10.82, 'aqi': 9}","{'concentration': 2.47, 'aqi': 3}","{'concentration': 9.25, 'aqi': 30}","{'concentration': 12.37, 'aqi': 11}",46
Westland,"{'concentration': 307.08, 'aqi': 3}","{'concentration': 12.68, 'aqi': 15}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 2.89, 'aqi': 4}","{'concentration': 5.48, 'aqi': 17}","{'concentration': 6.66, 'aqi': 6}",40
Missouri City,"{'concentration': 467.3, 'aqi': 5}","{'concentration': 54.84, 'aqi': 68}","{'concentration': 29.33, 'aqi': 24}","{'concentration': 5.96, 'aqi': 8}","{'concentration': 13.26, 'aqi': 43}","{'concentration': 17.15, 'aqi': 15}",68
Omaha,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 16.11, 'aqi': 20}","{'concentration': 23.25, 'aqi': 19}","{'concentration': 0.08, 'aqi': 0}","{'concentration': 4.17, 'aqi': 13}","{'concentration': 6.93, 'aqi': 6}",20
Wyoming,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 20.91, 'aqi': 26}","{'concentration': 38.62, 'aqi': 32}","{'concentration': 6.74, 'aqi': 9}","{'concentration': 9.4, 'aqi': 30}","{'concentration': 11.78, 'aqi': 10}",32
Asheville,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 13.2, 'aqi': 16}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 3.36, 'aqi': 10}","{'concentration': 5.4, 'aqi': 5}",25
Troy,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 5.06, 'aqi': 6}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 0.37, 'aqi': 0}","{'concentration': 0.95, 'aqi': 3}","{'concentration': 1.5, 'aqi': 1}",47
Hemet,"{'concentration': 390.53, 'aqi': 4}","{'concentration': 25.71, 'aqi': 32}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 1.76, 'aqi': 2}","{'concentration': 9.99, 'aqi': 32}","{'concentration': 14.58, 'aqi': 13}",33
Gainesville,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 4.63, 'aqi': 5}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 0.51, 'aqi': 0}","{'concentration': 3.86, 'aqi': 12}","{'concentration': 4.54, 'aqi': 4}",36
Brentwood,"{'concentration': 567.44, 'aqi': 6}","{'concentration': 74.03, 'aqi': 92}","{'concentration': 0.54, 'aqi': 0}","{'concentration': 5.36, 'aqi': 7}","{'concentration': 20.58, 'aqi': 60}","{'concentration': 27.45, 'aqi': 25}",92
The Villages,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 6.86, 'aqi': 8}","{'concentration': 46.49, 'aqi': 39}","{'concentration': 0.82, 'aqi': 1}","{'concentration': 4.81, 'aqi': 15}","{'concentration': 5.64, 'aqi': 5}",39
Plano,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 28.79, 'aqi': 35}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 7.18, 'aqi': 23}","{'concentration': 10.01, 'aqi': 9}",42
