city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Deltona,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 6.51, 'aqi': 8}","{'concentration': 51.5, 'aqi': 43}","{'concentration': 2.95, 'aqi': 4}","{'concentration': 4.91, 'aqi': 15}","{'concentration': 5.93, 'aqi': 5}",43
Baltimore,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 4.41, 'aqi': 6}","{'concentration': 2.75, 'aqi': 8}","{'concentration': 4.57, 'aqi': 4}",38
Clovis,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 10.37, 'aqi': 12}","{'concentration': 30.4, 'aqi': 25}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 10.66, 'aqi': 34}","{'concentration': 14.57, 'aqi': 13}",34
Edmond,"{'concentration': 473.98, 'aqi': 5}","{'concentration': 42.5, 'aqi': 53}","{'concentration': 6.88, 'aqi': 5}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 9.69, 'aqi': 31}","{'concentration': 13.14, 'aqi': 12}",53
Livonia,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 17.31, 'aqi': 21}","{'concentration': 43.27, 'aqi': 36}","{'concentration': 2.77, 'aqi': 4}","{'concentration': 5.65, 'aqi': 18}","{'concentration': 7.5, 'aqi': 6}",36
Cranston,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.11, 'aqi': 5}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 0.32, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.7, 'aqi': 0}",42
Gresham,"{'concentration': 447.27, 'aqi': 5}","{'concentration': 34.62, 'aqi': 43}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 2.47, 'aqi': 3}","{'concentration': 9.22, 'aqi': 29}","{'concentration': 14.63, 'aqi': 13}",43
Temecula,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 36.67, 'aqi': 45}","{'concentration': 38.62, 'aqi': 32}","{'concentration': 4.05, 'aqi': 5}","{'concentration': 24.17, 'aqi': 67}","{'concentration': 31.89, 'aqi': 29}",67
Reading,"{'concentration': 226.97, 'aqi': 2}","{'concentration': 15.42, 'aqi': 19}","{'concentration': 32.9, 'aqi': 27}","{'concentration': 3.13, 'aqi': 4}","{'concentration': 3.86, 'aqi': 12}","{'concentration': 5.42, 'aqi': 5}",27
Kansas City,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 40.44, 'aqi': 50}","{'concentration': 6.26, 'aqi': 5}","{'concentration': 1.42, 'aqi': 2}","{'concentration': 8.08, 'aqi': 26}","{'concentration': 12.63, 'aqi': 11}",50
Kent,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 17.17, 'aqi': 14}","{'concentration': 1.31, 'aqi': 1}","{'concentration': 13.52, 'aqi': 43}","{'concentration': 16.16, 'aqi': 14}",43
Bayamón,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.21, 'aqi': 0}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.26, 'aqi': 0}","{'concentration': 1.98, 'aqi': 6}","{'concentration': 6.24, 'aqi': 5}",75
Carson,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Miami Beach,"{'concentration': 350.48, 'aqi': 3}","{'concentration': 29.82, 'aqi': 37}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 3.13, 'aqi': 4}","{'concentration': 6.53, 'aqi': 21}","{'concentration': 14.65, 'aqi': 13}",37
Bolingbrook,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 20.74, 'aqi': 25}","{'concentration': 35.41, 'aqi': 30}","{'concentration': 3.13, 'aqi': 4}","{'concentration': 7.4, 'aqi': 24}","{'concentration': 9.81, 'aqi': 9}",30
Anchorage,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 20.05, 'aqi': 25}","{'concentration': 38.62, 'aqi': 32}","{'concentration': 0.44, 'aqi': 0}","{'concentration': 3.31, 'aqi': 10}","{'concentration': 4.34, 'aqi': 4}",32
Waukegan,"{'concentration': 343.8, 'aqi': 3}","{'concentration': 21.25, 'aqi': 26}","{'concentration': 37.91, 'aqi': 32}","{'concentration': 5.13, 'aqi': 7}","{'concentration': 7.79, 'aqi': 25}","{'concentration': 10.15, 'aqi': 9}",32
Meridian,"{'concentration': 323.77, 'aqi': 3}","{'concentration': 17.31, 'aqi': 21}","{'concentration': 19.31, 'aqi': 16}","{'concentration': 0.19, 'aqi': 0}","{'concentration': 5.4, 'aqi': 17}","{'concentration': 6.76, 'aqi': 6}",21
South San Francisco,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 2.74, 'aqi': 3}","{'concentration': 72.96, 'aqi': 93}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 2.2, 'aqi': 7}","{'concentration': 4.02, 'aqi': 3}",93
Santa Barbara,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 7.28, 'aqi': 9}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 7.38, 'aqi': 23}","{'concentration': 10.48, 'aqi': 9}",44
Reno,"{'concentration': 343.8, 'aqi': 3}","{'concentration': 23.99, 'aqi': 29}","{'concentration': 28.97, 'aqi': 24}","{'concentration': 0.22, 'aqi': 0}","{'concentration': 6.68, 'aqi': 21}","{'concentration': 13.22, 'aqi': 12}",29
Des Moines,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 20.56, 'aqi': 25}","{'concentration': 24.68, 'aqi': 20}","{'concentration': 2.35, 'aqi': 3}","{'concentration': 6.78, 'aqi': 22}","{'concentration': 9.32, 'aqi': 8}",25
Skokie,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 50.04, 'aqi': 62}","{'concentration': 13.95, 'aqi': 11}","{'concentration': 8.23, 'aqi': 12}","{'concentration': 10.88, 'aqi': 35}","{'concentration': 14.79, 'aqi': 13}",62
Rochester Hills,"{'concentration': 307.08, 'aqi': 3}","{'concentration': 11.31, 'aqi': 14}","{'concentration': 46.49, 'aqi': 39}","{'concentration': 1.16, 'aqi': 1}","{'concentration': 3.54, 'aqi': 11}","{'concentration': 5.51, 'aqi': 5}",39
Whittier,"{'concentration': 1976.01, 'aqi': 22}","{'concentration': 146.69, 'aqi': 137}","{'concentration': 0, 'aqi': 0}","{'concentration': 22.65, 'aqi': 33}","{'concentration': 97.66, 'aqi': 168}","{'concentration': 133.92, 'aqi': 89}",168
Arvada,"{'concentration': 390.53, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 32.19, 'aqi': 27}","{'concentration': 0.7, 'aqi': 1}","{'concentration': 8.11, 'aqi': 26}","{'concentration': 11.36, 'aqi': 10}",33
Lincoln,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 7.2, 'aqi': 9}","{'concentration': 40.41, 'aqi': 34}","{'concentration': 0.05, 'aqi': 0}","{'concentration': 2.29, 'aqi': 7}","{'concentration': 3.88, 'aqi': 3}",34
Pueblo,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 8.65, 'aqi': 10}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 5.57, 'aqi': 18}","{'concentration': 19.16, 'aqi': 17}",37
Victorville,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 57.22, 'aqi': 48}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 12.75, 'aqi': 41}","{'concentration': 45.64, 'aqi': 42}",48
Nampa,"{'concentration': 500.68, 'aqi': 5}","{'concentration': 34.62, 'aqi': 43}","{'concentration': 6.08, 'aqi': 5}","{'concentration': 0.37, 'aqi': 0}","{'concentration': 11.45, 'aqi': 37}","{'concentration': 13.97, 'aqi': 12}",43
Hesperia,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 57.22, 'aqi': 48}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 12.75, 'aqi': 41}","{'concentration': 45.64, 'aqi': 42}",48
Simi Valley,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 12.17, 'aqi': 15}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 1.25, 'aqi': 1}","{'concentration': 20.3, 'aqi': 59}","{'concentration': 30.67, 'aqi': 28}",59
San Marcos,"{'concentration': 247, 'aqi': 2}","{'concentration': 5.36, 'aqi': 6}","{'concentration': 65.09, 'aqi': 69}","{'concentration': 0.28, 'aqi': 0}","{'concentration': 2.81, 'aqi': 9}","{'concentration': 3.76, 'aqi': 3}",69
Boston,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 5.27, 'aqi': 6}","{'concentration': 39.7, 'aqi': 33}","{'concentration': 0.33, 'aqi': 0}","{'concentration': 0.55, 'aqi': 1}","{'concentration': 1.17, 'aqi': 1}",33
Norfolk,"{'concentration': 327.11, 'aqi': 3}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 30.76, 'aqi': 26}","{'concentration': 1.45, 'aqi': 2}","{'concentration': 2.53, 'aqi': 8}","{'concentration': 3.42, 'aqi': 3}",26
Napa,"{'concentration': 343.8, 'aqi': 3}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 13.59, 'aqi': 11}","{'concentration': 0.14, 'aqi': 0}","{'concentration': 7.86, 'aqi': 25}","{'concentration': 11.84, 'aqi': 10}",25
Hillsboro,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 16.62, 'aqi': 20}","{'concentration': 19.13, 'aqi': 16}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 3, 'aqi': 9}","{'concentration': 6, 'aqi': 5}",20
Quincy,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 5.27, 'aqi': 6}","{'concentration': 39.7, 'aqi': 33}","{'concentration': 0.33, 'aqi': 0}","{'concentration': 0.55, 'aqi': 1}","{'concentration': 1.17, 'aqi': 1}",33
College Station,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 17.99, 'aqi': 22}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 9.3, 'aqi': 13}","{'concentration': 7.81, 'aqi': 25}","{'concentration': 9.37, 'aqi': 8}",46
Independence,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 40.44, 'aqi': 50}","{'concentration': 6.26, 'aqi': 5}","{'concentration': 1.42, 'aqi': 2}","{'concentration': 8.08, 'aqi': 26}","{'concentration': 12.63, 'aqi': 11}",50
North Little Rock,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 40.05, 'aqi': 33}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 5.49, 'aqi': 17}","{'concentration': 6.64, 'aqi': 6}",33
Tuscaloosa,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 15.59, 'aqi': 19}","{'concentration': 21.82, 'aqi': 18}","{'concentration': 0.44, 'aqi': 0}","{'concentration': 5.41, 'aqi': 17}","{'concentration': 6.92, 'aqi': 6}",19
Pleasanton,"{'concentration': 854.49, 'aqi': 9}","{'concentration': 85.68, 'aqi': 103}","{'concentration': 0, 'aqi': 0}","{'concentration': 5.07, 'aqi': 7}","{'concentration': 47.21, 'aqi': 113}","{'concentration': 61.92, 'aqi': 53}",113
Gastonia,"{'concentration': 370.5, 'aqi': 4}","{'concentration': 17.48, 'aqi': 21}","{'concentration': 21.99, 'aqi': 18}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 4.61, 'aqi': 14}","{'concentration': 7.09, 'aqi': 6}",21
Athens-Clarke County unified government,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 9.08, 'aqi': 11}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 0.44, 'aqi': 0}","{'concentration': 3.14, 'aqi': 10}","{'concentration': 6.06, 'aqi': 5}",35
Corpus Christi,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 6.43, 'aqi': 8}","{'concentration': 71.53, 'aqi': 89}","{'concentration': 1.83, 'aqi': 2}","{'concentration': 3.54, 'aqi': 11}","{'concentration': 5.72, 'aqi': 5}",89
Hartford,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 3.86, 'aqi': 4}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 0.24, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.83, 'aqi': 0}",47
Buffalo,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 3.98, 'aqi': 4}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 1.03, 'aqi': 1}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.97, 'aqi': 0}",62
Maple Grove,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 5.48, 'aqi': 6}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 4.55, 'aqi': 14}","{'concentration': 5.69, 'aqi': 5}",44
Lewisville,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 49.35, 'aqi': 61}","{'concentration': 30.76, 'aqi': 26}","{'concentration': 3.43, 'aqi': 5}","{'concentration': 8.91, 'aqi': 28}","{'concentration': 12.58, 'aqi': 11}",61
Johnson City,"{'concentration': 363.83, 'aqi': 4}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 26.82, 'aqi': 22}","{'concentration': 0.19, 'aqi': 0}","{'concentration': 5.74, 'aqi': 18}","{'concentration': 6.97, 'aqi': 6}",22
Brockton,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 5.14, 'aqi': 6}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 0.32, 'aqi': 0}","{'concentration': 0.56, 'aqi': 1}","{'concentration': 1.36, 'aqi': 1}",36
Evanston,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 50.04, 'aqi': 62}","{'concentration': 13.95, 'aqi': 11}","{'concentration': 8.23, 'aqi': 12}","{'concentration': 10.88, 'aqi': 35}","{'concentration': 14.79, 'aqi': 13}",62
Menifee,"{'concentration': 507.36, 'aqi': 5}","{'concentration': 43.18, 'aqi': 53}","{'concentration': 35.05, 'aqi': 29}","{'concentration': 2.06, 'aqi': 3}","{'concentration': 15.69, 'aqi': 50}","{'concentration': 24.32, 'aqi': 22}",53
Longmont,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 15.59, 'aqi': 19}","{'concentration': 40.05, 'aqi': 33}","{'concentration': 0.4, 'aqi': 0}","{'concentration': 4.84, 'aqi': 15}","{'concentration': 7.11, 'aqi': 6}",33
Fremont,"{'concentration': 747.68, 'aqi': 8}","{'concentration': 79.51, 'aqi': 99}","{'concentration': 0, 'aqi': 0}","{'concentration': 5.31, 'aqi': 7}","{'concentration': 31.6, 'aqi': 82}","{'concentration': 44.98, 'aqi': 41}",99
Tucson,"{'concentration': 400.54, 'aqi': 4}","{'concentration': 24.33, 'aqi': 30}","{'concentration': 34.33, 'aqi': 29}","{'concentration': 0.94, 'aqi': 1}","{'concentration': 12.56, 'aqi': 40}","{'concentration': 23.77, 'aqi': 22}",40
Passaic,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 6.68, 'aqi': 8}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.59, 'aqi': 0}","{'concentration': 0.7, 'aqi': 2}","{'concentration': 1.56, 'aqi': 1}",44
Elgin,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 11.48, 'aqi': 14}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 4.47, 'aqi': 6}","{'concentration': 6.09, 'aqi': 19}","{'concentration': 7.49, 'aqi': 6}",38
Hampton,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 8.23, 'aqi': 10}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 1.13, 'aqi': 1}","{'concentration': 1.29, 'aqi': 4}","{'concentration': 2.01, 'aqi': 1}",33
Schaumburg,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 4.59, 'aqi': 6}","{'concentration': 7.4, 'aqi': 24}","{'concentration': 9.66, 'aqi': 8}",34
Youngs,"{'concentration': 367.17, 'aqi': 4}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 1.27, 'aqi': 1}","{'concentration': 4.52, 'aqi': 14}","{'concentration': 6.56, 'aqi': 6}",28
Danbury,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 4.46, 'aqi': 5}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 1.67, 'aqi': 2}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.96, 'aqi': 0}",51
Chula Vista,"{'concentration': 647.54, 'aqi': 7}","{'concentration': 58.95, 'aqi': 73}","{'concentration': 1.23, 'aqi': 1}","{'concentration': 2.24, 'aqi': 3}","{'concentration': 28.11, 'aqi': 75}","{'concentration': 43.94, 'aqi': 40}",75
Palmdale,"{'concentration': 413.9, 'aqi': 4}","{'concentration': 35.64, 'aqi': 44}","{'concentration': 34.33, 'aqi': 29}","{'concentration': 2.06, 'aqi': 3}","{'concentration': 15.29, 'aqi': 49}","{'concentration': 33.25, 'aqi': 30}",49
Oceanside,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 29.13, 'aqi': 36}","{'concentration': 38.98, 'aqi': 33}","{'concentration': 1.73, 'aqi': 2}","{'concentration': 31.24, 'aqi': 81}","{'concentration': 46.75, 'aqi': 43}",81
Little Rock,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 40.05, 'aqi': 33}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 5.49, 'aqi': 17}","{'concentration': 6.64, 'aqi': 6}",33
Albuquerque,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 12.51, 'aqi': 15}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 0.78, 'aqi': 1}","{'concentration': 9.84, 'aqi': 31}","{'concentration': 28.94, 'aqi': 26}",44
Escondido,"{'concentration': 667.57, 'aqi': 7}","{'concentration': 58.95, 'aqi': 73}","{'concentration': 2.95, 'aqi': 2}","{'concentration': 2.09, 'aqi': 3}","{'concentration': 33.2, 'aqi': 85}","{'concentration': 48.21, 'aqi': 44}",85
McAllen,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 13.71, 'aqi': 17}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 3.43, 'aqi': 5}","{'concentration': 3.44, 'aqi': 11}","{'concentration': 5.86, 'aqi': 5}",62
Santa Clara,"{'concentration': 640.87, 'aqi': 7}","{'concentration': 74.71, 'aqi': 93}","{'concentration': 0.07, 'aqi': 0}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 19.36, 'aqi': 57}","{'concentration': 27.4, 'aqi': 25}",93
Walnut Creek,"{'concentration': 787.74, 'aqi': 8}","{'concentration': 85, 'aqi': 102}","{'concentration': 0, 'aqi': 0}","{'concentration': 6.02, 'aqi': 8}","{'concentration': 29.84, 'aqi': 78}","{'concentration': 43.22, 'aqi': 40}",102
Mountain View,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 13.88, 'aqi': 17}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 1.27, 'aqi': 1}","{'concentration': 3.28, 'aqi': 10}","{'concentration': 6.33, 'aqi': 5}",43
Centreville,"{'concentration': 287.06, 'aqi': 3}","{'concentration': 8.91, 'aqi': 11}","{'concentration': 43.27, 'aqi': 36}","{'concentration': 2.33, 'aqi': 3}","{'concentration': 1.13, 'aqi': 3}","{'concentration': 2.05, 'aqi': 1}",36
Santa Maria,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 2.25, 'aqi': 2}","{'concentration': 41.84, 'aqi': 35}","{'concentration': 1.01, 'aqi': 1}","{'concentration': 1.89, 'aqi': 6}","{'concentration': 3.03, 'aqi': 2}",35
Plantation,"{'concentration': 243.66, 'aqi': 2}","{'concentration': 4.88, 'aqi': 6}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 7.74, 'aqi': 7}",73
Allen,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 28.79, 'aqi': 35}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 7.18, 'aqi': 23}","{'concentration': 10.01, 'aqi': 9}",42
Hollywood,"{'concentration': 1949.31, 'aqi': 22}","{'concentration': 252.25, 'aqi': 208}","{'concentration': 0, 'aqi': 0}","{'concentration': 46.25, 'aqi': 55}","{'concentration': 183.9, 'aqi': 233}","{'concentration': 218.98, 'aqi': 132}",233
San Tan Valley,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 47.98, 'aqi': 59}","{'concentration': 23.96, 'aqi': 20}","{'concentration': 1.36, 'aqi': 2}","{'concentration': 11, 'aqi': 35}","{'concentration': 26.78, 'aqi': 24}",59
Macon,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 13.88, 'aqi': 17}","{'concentration': 36.48, 'aqi': 30}","{'concentration': 2.77, 'aqi': 4}","{'concentration': 3.52, 'aqi': 11}","{'concentration': 5.17, 'aqi': 4}",30
Lakewood,"{'concentration': 383.85, 'aqi': 4}","{'concentration': 34.62, 'aqi': 43}","{'concentration': 24.68, 'aqi': 20}","{'concentration': 1.64, 'aqi': 2}","{'concentration': 8.28, 'aqi': 26}","{'concentration': 14.53, 'aqi': 13}",43
Columbus,"{'concentration': 427.25, 'aqi': 4}","{'concentration': 33.24, 'aqi': 41}","{'concentration': 11.8, 'aqi': 10}","{'concentration': 1.77, 'aqi': 2}","{'concentration': 12.06, 'aqi': 39}","{'concentration': 13.94, 'aqi': 12}",41
Phoenix,"{'concentration': 787.74, 'aqi': 8}","{'concentration': 83.63, 'aqi': 102}","{'concentration': 0.23, 'aqi': 0}","{'concentration': 7.39, 'aqi': 10}","{'concentration': 37.59, 'aqi': 94}","{'concentration': 55.06, 'aqi': 50}",102
Murrieta,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 16.79, 'aqi': 20}","{'concentration': 47.21, 'aqi': 40}","{'concentration': 1.88, 'aqi': 2}","{'concentration': 14.64, 'aqi': 47}","{'concentration': 23.38, 'aqi': 21}",47
Auburn,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 4.03, 'aqi': 5}","{'concentration': 42.92, 'aqi': 36}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 2.18, 'aqi': 7}","{'concentration': 2.92, 'aqi': 2}",36
Avondale,"{'concentration': 410.56, 'aqi': 4}","{'concentration': 29.47, 'aqi': 36}","{'concentration': 70.1, 'aqi': 84}","{'concentration': 3.99, 'aqi': 5}","{'concentration': 20.77, 'aqi': 60}","{'concentration': 36.49, 'aqi': 33}",84
Saint Petersburg,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 29.13, 'aqi': 36}","{'concentration': 19.31, 'aqi': 16}","{'concentration': 33.38, 'aqi': 49}","{'concentration': 3.05, 'aqi': 9}","{'concentration': 4.21, 'aqi': 3}",49
Temple,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 4.63, 'aqi': 5}","{'concentration': 76.53, 'aqi': 103}","{'concentration': 0.98, 'aqi': 1}","{'concentration': 3.33, 'aqi': 10}","{'concentration': 3.91, 'aqi': 3}",103
Gary,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 24.68, 'aqi': 30}","{'concentration': 32.9, 'aqi': 27}","{'concentration': 6.26, 'aqi': 9}","{'concentration': 6.82, 'aqi': 22}","{'concentration': 9.69, 'aqi': 8}",30
Toledo,"{'concentration': 240.33, 'aqi': 2}","{'concentration': 18.68, 'aqi': 23}","{'concentration': 2.39, 'aqi': 2}","{'concentration': 0.44, 'aqi': 0}","{'concentration': 3.83, 'aqi': 12}","{'concentration': 5.81, 'aqi': 5}",23
Wichita Falls,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 4.67, 'aqi': 5}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 0.09, 'aqi': 0}","{'concentration': 3.24, 'aqi': 10}","{'concentration': 4.58, 'aqi': 4}",49
Chico,"{'concentration': 403.88, 'aqi': 4}","{'concentration': 26.39, 'aqi': 32}","{'concentration': 7.78, 'aqi': 6}","{'concentration': 0.63, 'aqi': 0}","{'concentration': 8.17, 'aqi': 26}","{'concentration': 10.28, 'aqi': 9}",32
Indianapolis,"{'concentration': 373.84, 'aqi': 4}","{'concentration': 25.36, 'aqi': 31}","{'concentration': 23.6, 'aqi': 20}","{'concentration': 2.3, 'aqi': 3}","{'concentration': 7.87, 'aqi': 25}","{'concentration': 11.15, 'aqi': 10}",31
Fall River,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 7.88, 'aqi': 9}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 0.7, 'aqi': 1}","{'concentration': 0.63, 'aqi': 2}","{'concentration': 1.12, 'aqi': 1}",37
Arden-Arcade,"{'concentration': 974.66, 'aqi': 11}","{'concentration': 78.14, 'aqi': 97}","{'concentration': 0, 'aqi': 0}","{'concentration': 8.58, 'aqi': 12}","{'concentration': 38.19, 'aqi': 95}","{'concentration': 45.45, 'aqi': 42}",97
Austin,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 16.11, 'aqi': 20}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 1.25, 'aqi': 1}","{'concentration': 5.83, 'aqi': 18}","{'concentration': 7.88, 'aqi': 7}",49
Houston,"{'concentration': 467.3, 'aqi': 5}","{'concentration': 58.26, 'aqi': 72}","{'concentration': 22.89, 'aqi': 19}","{'concentration': 7.09, 'aqi': 10}","{'concentration': 12.32, 'aqi': 40}","{'concentration': 17.22, 'aqi': 15}",72
East Los Angeles,"{'concentration': 1348.5, 'aqi': 15}","{'concentration': 163.14, 'aqi': 147}","{'concentration': 0, 'aqi': 0}","{'concentration': 25.27, 'aqi': 37}","{'concentration': 114.48, 'aqi': 178}","{'concentration': 142.7, 'aqi': 94}",178
Newark,"{'concentration': 360.49, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 26.46, 'aqi': 22}","{'concentration': 1.86, 'aqi': 2}","{'concentration': 4.22, 'aqi': 13}","{'concentration': 8.06, 'aqi': 7}",33
Minneapolis,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 8.74, 'aqi': 10}","{'concentration': 47.21, 'aqi': 40}","{'concentration': 1.91, 'aqi': 2}","{'concentration': 5.93, 'aqi': 19}","{'concentration': 7.6, 'aqi': 7}",40
Brooklyn Park,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 7.54, 'aqi': 9}","{'concentration': 48.64, 'aqi': 41}","{'concentration': 4.53, 'aqi': 6}","{'concentration': 5.44, 'aqi': 17}","{'concentration': 7.01, 'aqi': 6}",41
Oakland,"{'concentration': 347.14, 'aqi': 3}","{'concentration': 38.39, 'aqi': 47}","{'concentration': 22.89, 'aqi': 19}","{'concentration': 3.28, 'aqi': 4}","{'concentration': 6.63, 'aqi': 21}","{'concentration': 12.92, 'aqi': 11}",47
Worcester,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 1.89, 'aqi': 2}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 0.05, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.67, 'aqi': 0}",42
